"month","borough","day_type","trip_type","route_id","period","number_of_trips_passing_wait","number_of_scheduled_trips","wait_assessment"
"2020-01-01","Bronx","1","LCL/LTD","BX1","Off-Peak","16,464","21,728","75.7732%"
"2020-01-01","Bronx","1","LCL/LTD","BX1","Peak","6,845","10,902","62.786645%"
"2020-01-01","Bronx","2","LCL/LTD","BX1","Off-Peak","5,817","7,896","73.670214%"
"2020-01-01","Bronx","2","LCL/LTD","BX1","Peak","2,360","3,214","73.42875%"
"2020-01-01","Bronx","1","LCL/LTD","BX10","Off-Peak","12,307","16,059","76.636153%"
"2020-01-01","Bronx","1","LCL/LTD","BX10","Peak","5,162","7,988","64.62193%"
"2020-01-01","Bronx","2","LCL/LTD","BX10","Off-Peak","3,945","5,208","75.74885%"
"2020-01-01","Bronx","2","LCL/LTD","BX10","Peak","1,546","2,019","76.57256%"
"2020-01-01","Bronx","1","LCL/LTD","BX11","Off-Peak","10,587","14,413","73.454523%"
"2020-01-01","Bronx","1","LCL/LTD","BX11","Peak","5,367","8,697","61.710936%"
"2020-01-01","Bronx","2","LCL/LTD","BX11","Off-Peak","4,169","5,267","79.153216%"
"2020-01-01","Bronx","2","LCL/LTD","BX11","Peak","1,693","2,249","75.2779%"
"2020-01-01","Bronx","1","LCL/LTD","BX12","Off-Peak","13,973","17,225","81.12047%"
"2020-01-01","Bronx","1","LCL/LTD","BX12","Peak","4,316","6,478","66.6255%"
"2020-01-01","Bronx","2","LCL/LTD","BX12","Off-Peak","6,129","7,381","83.03753%"
"2020-01-01","Bronx","2","LCL/LTD","BX12","Peak","1,943","2,345","82.857144%"
"2020-01-01","Bronx","1","SBS","BX12+","Off-Peak","5,290","6,854","77.18121%"
"2020-01-01","Bronx","1","SBS","BX12+","Peak","2,411","3,671","65.67693%"
"2020-01-01","Bronx","2","SBS","BX12+","Off-Peak","1,912","2,316","82.55613%"
"2020-01-01","Bronx","2","SBS","BX12+","Peak","842","1,074","78.39851%"
"2020-01-01","Bronx","1","LCL/LTD","BX13","Off-Peak","8,905","10,583","84.144384%"
"2020-01-01","Bronx","1","LCL/LTD","BX13","Peak","4,415","5,992","73.681575%"
"2020-01-01","Bronx","2","LCL/LTD","BX13","Off-Peak","3,721","4,236","87.842304%"
"2020-01-01","Bronx","2","LCL/LTD","BX13","Peak","1,562","1,851","84.38682%"
"2020-01-01","Bronx","1","LCL/LTD","BX15","Off-Peak","26,407","38,287","68.97119%"
"2020-01-01","Bronx","1","LCL/LTD","BX15","Peak","9,988","16,803","59.44177%"
"2020-01-01","Bronx","2","LCL/LTD","BX15","Off-Peak","11,844","15,469","76.566035%"
"2020-01-01","Bronx","2","LCL/LTD","BX15","Peak","4,450","5,930","75.04216%"
"2020-01-01","Bronx","1","LCL/LTD","BX16","Off-Peak","10,141","13,423","75.54943%"
"2020-01-01","Bronx","1","LCL/LTD","BX16","Peak","4,764","8,175","58.27523%"
"2020-01-01","Bronx","2","LCL/LTD","BX16","Off-Peak","3,335","4,583","72.768927%"
"2020-01-01","Bronx","2","LCL/LTD","BX16","Peak","1,310","1,936","67.66529%"
"2020-01-01","Bronx","1","LCL/LTD","BX17","Off-Peak","10,033","13,895","72.20583%"
"2020-01-01","Bronx","1","LCL/LTD","BX17","Peak","5,139","8,392","61.236894%"
"2020-01-01","Bronx","2","LCL/LTD","BX17","Off-Peak","4,138","5,273","78.47525%"
"2020-01-01","Bronx","2","LCL/LTD","BX17","Peak","1,723","2,267","76.00353%"
"2020-01-01","Bronx","1","LCL/LTD","BX18","Off-Peak","1,526","2,284","66.81261%"
"2020-01-01","Bronx","1","LCL/LTD","BX18","Peak","836","1,496","55.88235%"
"2020-01-01","Bronx","2","LCL/LTD","BX18","Off-Peak","532","727","73.17744%"
"2020-01-01","Bronx","2","LCL/LTD","BX18","Peak","228","353","64.58923%"
"2020-01-01","Bronx","1","LCL/LTD","BX19","Off-Peak","26,419","33,136","79.728997%"
"2020-01-01","Bronx","1","LCL/LTD","BX19","Peak","10,222","14,847","68.848926%"
"2020-01-01","Bronx","2","LCL/LTD","BX19","Off-Peak","11,530","13,833","83.351403%"
"2020-01-01","Bronx","2","LCL/LTD","BX19","Peak","4,267","5,374","79.40082%"
"2020-01-01","Bronx","1","LCL/LTD","BX2","Off-Peak","12,346","16,667","74.07452%"
"2020-01-01","Bronx","1","LCL/LTD","BX2","Peak","5,544","8,365","66.27615%"
"2020-01-01","Bronx","2","LCL/LTD","BX2","Off-Peak","4,243","5,519","76.87987%"
"2020-01-01","Bronx","2","LCL/LTD","BX2","Peak","1,812","2,395","75.65762%"
"2020-01-01","Bronx","1","LCL/LTD","BX20","Off-Peak","268","307","87.296414%"
"2020-01-01","Bronx","1","LCL/LTD","BX20","Peak","820","1,297","63.22282%"
"2020-01-01","Bronx","2","LCL/LTD","BX20","Off-Peak","16","16","100%"
"2020-01-01","Bronx","2","LCL/LTD","BX20","Peak","55","68","80.88235%"
"2020-01-01","Bronx","1","LCL/LTD","BX21","Off-Peak","18,544","24,145","76.802653%"
"2020-01-01","Bronx","1","LCL/LTD","BX21","Peak","7,699","12,049","63.89742%"
"2020-01-01","Bronx","2","LCL/LTD","BX21","Off-Peak","7,009","8,442","83.02535%"
"2020-01-01","Bronx","2","LCL/LTD","BX21","Peak","2,409","3,027","79.583746%"
"2020-01-01","Bronx","1","LCL/LTD","BX22","Off-Peak","18,726","22,352","83.77774%"
"2020-01-01","Bronx","1","LCL/LTD","BX22","Peak","8,911","12,690","70.220643%"
"2020-01-01","Bronx","2","LCL/LTD","BX22","Off-Peak","6,791","8,200","82.81707%"
"2020-01-01","Bronx","2","LCL/LTD","BX22","Peak","2,346","2,998","78.252167%"
"2020-01-01","Bronx","1","LCL/LTD","BX23","Off-Peak","3,882","4,400","88.22727%"
"2020-01-01","Bronx","1","LCL/LTD","BX23","Peak","2,770","3,868","71.613234%"
"2020-01-01","Bronx","2","LCL/LTD","BX23","Off-Peak","1,232","1,564","78.77238%"
"2020-01-01","Bronx","2","LCL/LTD","BX23","Peak","558","705","79.148936%"
"2020-01-01","Bronx","1","LCL/LTD","BX24","Off-Peak","1,981","2,255","87.849224%"
"2020-01-01","Bronx","1","LCL/LTD","BX24","Peak","612","796","76.884425%"
"2020-01-01","Bronx","2","LCL/LTD","BX24","Off-Peak","1,008","1,120","90%"
"2020-01-01","Bronx","2","LCL/LTD","BX24","Peak","340","394","86.29442%"
"2020-01-01","Bronx","1","LCL/LTD","BX26","Off-Peak","10,758","13,371","80.457705%"
